fornecedor,descricao,unidade,cnpj,valor_unit,valor_mes,obs
"CONTROLID INDUSTRIA, COMERCIO DE HARDWARE E SERVICOS DE TECNOLOGIA LTDA",REF 12/2025 - ID FACIAL PORTARIA - ALPHAVILLE,ITAU - LOCAGORA,48449181000164,0,218.35,
J & M SOLUCOES EM TECNOLOGIA LTDA - ALLIED IT SOLUTIONS,REF 12/2025 - LOCAÇÃO DE NOTEBOOKS,ITAU - LOCAGORA,48449181000164,0,1250.0,
BTT TELECOMUNICACOES S.A.,REF 12/2025 - BLINK INTERNET,ITAU - LOCAGORA,48449181000164,0,99.0,
BTT TELECOMUNICACOES S.A.,REF 12/2025 - BLINK INTERNET,ITAU - LOCAGORA,48449181000164,0,99.0,
TIM,REF 12/2025 - TELEFONIA SÃO PAULO,ITAU - LOCAGORA,48449181000164,0,1358.16,
EMC TECNOLOGIA LTDA,REF 12/2025 - LOCAÇÃO DE NOTEBOOKS,ITAU - LOCAGORA,48449181000164,0,6600.0,
"CONTROLID INDUSTRIA, COMERCIO DE HARDWARE E SERVICOS DE TECNOLOGIA LTDA",REF 12/2025 - ID FACIAL PORTARIA - ALPHAVILLE,ITAU - LOCAGORA,48449181000164,0,922.99,
J.M.E INFORMATICA LTDA / inforcell,30/10/2025 á 31/10/2026,ITAU - LOCAGORA,48449181000164,0,7200.0,
MULTI 360 TECNOLOGIA LTDA.,Licenças,ITAU - LOCAGORA,57129904000139,0,748.0,
RD STATION,,,,0,19672.52,
TALLOS TECNOLOGIAS - RD STATION,,,,0,11047.14,
BLIP,,,,0,6134.42,
OMIEXPERIENCE LTDA.,,,,0,4500.0,
CONTAAZUL SOFTWARE LTDA,,,,0,3521.6,
OBVIO BRASIL SOFTWARE E SERVICOS S.A.,,,,0,3248.0,
P5 PERFORMANCE LTDA.,,,,0,2400.0,
LECUPON S.A. - ALLOYAL,,,,0,2200.0,
Conta Azul Software Ltda,,,,0,1991.52,
OMIEXPERIENCE LTDA,,,,0,1950.0,
SSAT DESENVOLVIMENTO DE SOFTWARE LTDA - SYSTEMSAT,,,,0,1151.0,
PLUGA TECNOLOGIA S.A.,,,,0,1060.0,
JUDIT TECNOLOGIA DA INFORMACAO LTDA,,,,0,1000.0,
EGIDIO APARECIDO DE VASCONCELOS GONCALVES,,,,0,755.0,
TD SYNNEX BRASIL LTDA,,,,0,709.74,
"CONTROLID INDUSTRIA, COMERCIO DE HARDWARE E SERVICOS DE TECNO",,,,0,655.05,
CONTROLID IND,,,,0,553.52,
TELIUM TECNOLOGIA DA INFORMACAO LTDA,,,,0,1250.0,
J & M SOLUCOES EM TECNOLOGIA LTDA,,,,0,469.25,
TECH EMPRESAS,,,,0,300.0,
ORTEP ORGANIZACAO TECNICA DE PRECISAO LTDA,,,,0,222.0,
CONTROL ID,,,,0,218.35,
CONTROL ID INDUSTRIA,,,,0,218.35,
"CONTROLID INDUSTRIA, COMERCIO DE HARDWARE E SERVICOS DE TECNOLOGIA LTDA",,,,0,218.35,
"CONTROL ID INDUSTRIA, COMERCIO DE HARDWARE E SERVICOS DE TECNOLOGIA LTDA",,,,0,218.35,
AUTOCERTO TECNOLOGIA LTD,,,,0,200.0,
JULLIUS CARVALHO DE BRUM,,,,0,120.0,
LOC AGORA CANINDÉ,,,,0,75.0,
MARCILIO DA SILVA FONSECA,,,,0,5786.0,
INFORMIND SOLUCOES EM TECNOLOGIA LTDA / VISIUM,,,,0,30000.0,
